"pH";"Water";"Protein";"EtherExt";"Hydroxy";"CollaSol";"Lightn";"Hue";"DripLoss";"CookLoss";"WBshear";"Appear";"EaseSink";"Friabil";"Residue";"InJuice";"SusJuice";"OvAcc"
1;0,09;0,28;-0,28;-0,33;-0,08;-0,02;-0,33;0,01;-0,38;-0,26;0,1;0,17;0,1;0,08;0,08;0,01;0,13
0,09;1;-0,4;-0,16;-0,08;-0,01;0,03;-0,23;0,18;0,15;-0,01;-0,003;-0,16;-0,17;-0,19;-0,08;-0,09;-0,13
0,28;-0,4;1;-0,56;-0,55;-0,03;0,34;-0,47;-0,07;-0,64;-0,63;0,25;0,27;0,2;0,23;0,03;-0,004;0,21
-0,28;-0,16;-0,56;1;0,59;0,05;-0,31;0,4;0,08;0,44;0,42;-0,42;-0,11;-0,09;-0,13;-0,004;-0,01;-0,09
-0,33;-0,08;-0,55;0,59;1;0,16;-0,48;0,62;-0,12;0,66;0,72;-0,33;-0,26;-0,22;-0,24;-0,05;-0,02;-0,22
-0,08;-0,01;-0,03;0,05;0,16;1;-0,02;-0,03;-0,1;-0,01;-0,03;-0,19;0,01;0,06;-0,02;0,05;0,03;0,07
-0,02;0,03;0,34;-0,31;-0,48;-0,02;1;-0,21;0,25;-0,45;-0,55;0,35;0,19;0,19;0,2;-0,06;-0,02;0,22
-0,33;-0,23;-0,47;0,4;0,62;-0,03;-0,21;1;-0,13;0,65;0,67;0,07;-0,19;-0,1;-0,1;-0,03;0,08;-0,14
0,01;0,18;-0,07;0,08;-0,12;-0,1;0,25;-0,13;1;0,03;-0,11;0,02;-0,02;-0,03;-0,02;-0,13;-0,15;-0,01
-0,38;0,15;-0,64;0,44;0,66;-0,01;-0,45;0,65;0,03;1;0,73;-0,18;-0,36;-0,31;-0,32;-0,12;-0,07;-0,34
-0,26;-0,01;-0,63;0,42;0,72;-0,03;-0,55;0,67;-0,11;0,73;1;-0,28;-0,38;-0,32;-0,33;-0,1;-0,03;-0,37
0,1;-0,003;0,25;-0,42;-0,33;-0,19;0,35;0,07;0,02;-0,18;-0,28;1;0,24;0,27;0,33;0,16;0,24;0,31
0,17;-0,16;0,27;-0,11;-0,26;0,01;0,19;-0,19;-0,02;-0,36;-0,38;0,24;1;0,93;0,91;0,69;0,66;0,92
0,1;-0,17;0,2;-0,09;-0,22;0,06;0,19;-0,1;-0,03;-0,31;-0,32;0,27;0,93;1;0,94;0,72;0,7;0,92
0,08;-0,19;0,23;-0,13;-0,24;-0,02;0,2;-0,1;-0,02;-0,32;-0,33;0,33;0,91;0,94;1;0,72;0,7;0,91
0,08;-0,08;0,03;-0,004;-0,05;0,05;-0,06;-0,03;-0,13;-0,12;-0,1;0,16;0,69;0,72;0,72;1;0,93;0,8
0,01;-0,09;-0,004;-0,01;-0,02;0,03;-0,02;0,08;-0,15;-0,07;-0,03;0,24;0,66;0,7;0,7;0,93;1;0,79
0,13;-0,13;0,21;-0,09;-0,22;0,07;0,22;-0,14;-0,01;-0,34;-0,37;0,31;0,92;0,92;0,91;0,8;0,79;1
