"Name";"Points";"Hurdles";"High.Jump";"Shot";"Run200";"Longjump";"Javelin";"Run800"
"Joyner_Kersee,(USA)";7291;12,69;1,86;15,8;22,56;7,27;45,66;128,51
"John,(GDR)";6897;12,85;1,8;16,23;23,65;6,71;42,56;126,14
"Behmer,(GDR)";6858;13,2;1,83;14,2;23,1;6,68;44,54;124,2
"Choubenkova,(URS)";6540;13,51;1,74;14,76;23,93;6,32;47,46;127,9
"Sablovskaite,(URS)";6456;13,61;1,8;15,23;23,92;6,25;42,78;132,24
"Schulz,(GDR)";6411;13,75;1,83;13,5;24,65;6,33;42,82;125,79
"Fleming,(AUS)";6351;13,38;1,8;12,88;23,59;6,37;40,28;132,54
"Greiner,(USA)";6297;13,55;1,8;14,13;24,48;6,47;38;133,65
"Lajbnerova,(CZE)";6252;13,63;1,83;14,28;24,86;6,11;43,3;136,05
"Bouraga,(URS)";6232;13,25;1,77;12,62;23,59;6,28;39,06;134,74
"Wijnsma,(HOL)";6205;13,75;1,86;13,01;25,03;6,34;37,86;131,49
"Dimitrova,(BUL)";6171;13,24;1,8;12,02;23,59;6,19;37,62;135,73
"Scheider,(SWI)";6157;13,85;1,86;11,58;24,87;6,05;47,5;134,93
"Braun,(FRG)";6109;13,71;1,83;13,16;24,78;6,12;44,58;142,82
"Ruotsalainen,(FIN)";6101;13,79;1,8;12,32;24,61;6,08;45,44;137,06
"Yuping,(CHN)";6087;13,93;1,86;14,21;25;6,4;38,6;146,67
"Hagger,(GB)";5975;13,47;1,8;12,75;25,47;6,34;35,78;138,48
"Brown,(USA)";5972;14,07;1,83;12,69;24,83;6,13;44,34;146,43
"Mulliner,(GB)";5746;14,39;1,71;12,68;24,92;6,1;37,76;138,02
"Hautenauve,(BEL)";5734;14,04;1,77;11,81;25,61;5,99;35,68;133,9
"Kytola,(FIN)";5686;14,31;1,77;11,66;25,69;5,75;39,48;133,35
"Geremias,(BRA)";5508;14,23;1,71;12,95;25,5;5,5;39,64;144,02
"Hui-Ing,(TAI)";5290;14,85;1,68;10;25,23;5,47;39,14;137,3
"Jeong-Mi,(KOR)";5289;14,53;1,71;10,83;26,61;5,5;39,26;139,17
"Launa,(PNG)";4566;16,42;1,5;11,78;26,16;4,88;46,38;163,43
