"weight";"organ"
16;1,6
17,5;0,7
18,5;1
18,5;1,4
19;1,7
19;1,8
19,5;1,2
19,5;1,3
19,5;1,5
20;1,5
20;1,7
20;1,8
20;1,9
20;2
20,5;1,1
20,5;1,2
20,5;1,3
20,5;1,4
20,5;1,4
20,5;1,4
20,5;1,6
20,5;2,1
21;1,5
21;1,8
21;1,8
21;2,2
21,5;1,6
21,5;1,7
21,5;1,8
21,5;1,8
21,5;2,1
22;1,5
22;1,5
22;1,6
22;1,7
22;1,7
22;1,8
22;1,9
22;1,9
22;2,2
22;2,3
22;2,7
22,5;1,3
22,5;1,6
22,5;1,6
22,5;1,7
22,5;1,7
22,5;1,8
22,5;1,8
22,5;1,9
22,5;2
22,5;2
22,5;2
22,5;2
22,5;2
22,5;2,1
22,5;2,1
22,5;2,1
22,5;2,1
22,5;2,2
22,5;2,3
22,5;2,3
22,5;2,4
23;1,3
23;1,7
23;1,9
23;2
23;2
23;2
23;2
23;2,2
23;2,3
23;2,3
23;2,4
23;2,4
23;2,6
23,5;1,8
23,5;1,9
23,5;2
23,5;2,2
23,5;2,2
23,5;2,2
23,5;2,3
23,5;2,4
24;1,8
24;1,8
24;1,9
24;2,3
24;2,3
24;2,3
24;2,4
24;2,4
24;2,4
24;2,4
24;2,6
24;3
24,5;1,8
24,5;1,8
24,5;1,9
24,5;2
24,5;2
24,5;2
24,5;2,1
24,5;2,2
24,5;2,2
24,5;2,3
24,5;2,3
24,5;2,3
24,5;2,5
25;1,4
25;1,8
25;1,9
25;2
25;2,4
25;2,4
25,5;1,1
25,5;1,8
25,5;1,9
25,5;2
25,5;2
25,5;2
25,5;2,1
25,5;2,5
25,5;2,6
25,5;2,7
26;2
26;2,4
26;2,6
26;2,8
26,5;2,1
26,5;2,2
26,5;2,4
26,5;2,4
26,5;2,4
26,5;2,4
26,5;2,6
26,5;3
27;2,2
27;2,3
27;2,4
27;2,6
27;2,9
27,5;2,2
27,5;2,4
27,5;2,4
27,5;2,4
28;2,6
29;2,4
29,5;2,7
